     ciclo |        14         15 |     Total
-----------+----------------------+----------
       130 |    217063     597388 |  24412845 
       131 |    333021     397188 |  18095939 
       132 |    242939     393749 |  53329955 
       133 |    118828     395698 |  25077586 
       134 |    341156     290743 |  22537358 
       135 |    203001     357680 |  22738705 
       136 |    253940     306742 |  47681748 
       137 |    260012     308720 |  24294895 
       138 |    587414     484010 |  22721045 
       139 |    422353     399566 |  24525595 
       140 |    508994     569075 |  54656079 
       141 |    507047     438823 |  28608631 
       142 |    321157     485360 |  27956613 
       143 |    285264     432146 |  23370266 
       144 |    327361     505183 |  59219982 
       145 |    236998     500451 |  27698232 
       146 |    333398     336713 |  25226314 
       147 |    172864     232360 |  23656961 
       148 |    464019     480465 |  53720433 
       149 |    100787     460635 |  26142859 
       150 |    333901     288287 |  23631795 
       151 |    300004     131246 |  21394316 
       152 |    180318     360796 |  55842602 
       153 |    163412     272509 |  27083234 
       154 |     68137     378726 |  21516687 
       155 |    351673     458716 |  22938292 
       156 |    201861     504882 |  50949301 
       157 |    287935     240981 |  26600638 
       158 |    187381     174727 |  23569109 
       159 |         0     347560 |  20014530 
       160 |    124822     334756 |  48720847 
       161 |     56686     409513 |  24107334 
       162 |    134141     315712 |  24005769 
       163 |    395832     390922 |  20490664 
       164 |    239156     308149 |  49064146 
       165 |     35566     447058 |  21872408 
       166 |    119815     408193 |  20887158 
       167 |    322003     202514 |  20793952 
       168 |    278654     162607 |  48165681 
       169 |    540012     180448 |  22645357 
       170 |    292685     535272 |  23244708 
       171 |    133193     264151 |  22242086 
       172 |    269126     596842 |  43583517 
       173 |    281795     281732 |  21374489 
       174 |    191636     362648 |  20757533 
       175 |    245643     284037 |  18740921 
       176 |    369994     143810 |  47312458 
       177 |    269350     455771 |  22096610 
       178 |    332090     196861 |  21840048 
       179 |    414754     397527 |  21148877 
       180 |    307005     486100 |  48667668 
       181 |    267301     447549 |  24305757 
       182 |    378740     392805 |  21997395 
       183 |    255396     266525 |  19312367 
       184 |    110799     508463 |  43801643 
       185 |    214139     436704 |  22492843 
       186 |     51000     407549 |  20961847 
       187 |    185786     251826 |  19964261 
       188 |    292183     458703 |  42830799 
       189 |    131816     291058 |  24781568 
       190 |    152787     629780 |  30304225 
       191 |    600705     755064 |  66597016 
       192 |    286994     784295 |  50143061 
       193 |    268904     515642 |  31759978 
       194 |    455578    1225911 |  33457384 
       195 |    348264     476737 |  26299379 
       196 |    175323     401739 |  50100652 
       197 |    352463     240331 |  29378692 
       198 |    341380     406092 |  25722338 
       199 |    240669     308279 |  22914622 
       200 |    505024     697303 |  50836689 
       201 |    271980     473184 |  29010163 
-----------+----------------------+----------
     Total |  19553427   29071287 |2227947455 
